EZABPQM;Mnémo;Date_Attribution
040040;SFR0;08/12/2011
040041;SFR0;08/12/2011
040042;SFR0;08/12/2011
040043;SFR0;08/12/2011
040044;FREE;12/09/2001
040045;SFR0;08/12/2011
040046;SFR0;08/12/2011
040047;SOCT;25/07/2016
040048;SFR0;08/12/2011
040049;SFR0;08/12/2011
040059;SFR0;08/12/2011
040060;OECO;24/03/2016
040061;JAG;24/09/2019
040062;EONE;01/02/2021
040063;COMP;20/09/2007
040064;COMP;20/09/2007
040065;COMP;06/09/2005
040066;COMP;16/07/1999
040067;COMP;16/07/1999
040068;COMP;30/11/1999
040069;COMP;30/11/1999
040070;SFR0;08/12/2011
040075;SFR0;08/12/2011
040076;SFR0;08/12/2011
040077;SFR0;08/12/2011
040078;COMP;06/11/2007
040079;COMP;06/11/2007
040080;ALNI;06/05/2010
040090;COLT;01/01/2018
040100;SFR0;08/12/2011
040101;SFR0;18/06/2013
040123;UPCF;01/05/2014
040144;FREE;12/09/2001
040150;BOUY;16/12/2010
040151;BOUY;16/12/2010
040152;BOUY;16/12/2010
040153;BOUY;16/12/2010
040154;BOUY;16/12/2010
040155;BOUY;16/12/2010
040156;BOUY;16/12/2010
040157;BOUY;16/12/2010
040158;BOUY;16/12/2010
040159;BOUY;16/12/2010
040160;BOUY;24/01/2001
040161;GRPH;20/06/2019
040162;BOUY;24/01/2001
040163;BOUY;24/01/2001
040164;GRPH;20/06/2019
040165;BOUY;24/01/2001
040166;BOUY;24/01/2001
040176;COMP;17/01/2012
040188;PJT3;15/06/2017
040244;FREE;12/09/2001
040265;COMP;29/03/2007
040266;COMP;07/12/2006
040267;COMP;29/03/2007
040313;SFR0;08/12/2011
040314;SFR0;02/12/2014
040315;AVMI;26/05/2016
040316;SFR0;08/12/2011
040344;FREE;12/09/2001
040366;COMP;23/10/2007
040400;AVMI;01/03/2016
040403;SFR0;08/12/2011
040404;SFR0;08/12/2011
040405;SFR0;08/12/2011
040441;SFR0;08/12/2011
040442;SFR0;08/12/2011
040443;SFR0;08/12/2011
040466;COMP;29/03/2007
040490;WENG;25/01/2005
040544;FREE;12/09/2001
040566;COMP;29/03/2007
040577;COMP;16/07/2009
040578;COMP;16/07/2009
040623;FRTE;01/01/2017
040628;FRTE;01/01/2017
040631;FRTE;01/01/2017
040632;FRTE;01/01/2017
040633;FRTE;01/01/2017
040634;FRTE;01/01/2017
040635;FRTE;01/01/2017
040636;FRTE;01/01/2017
040637;FRTE;01/01/2017
040638;FRTE;01/01/2017
040639;FRTE;01/01/2017
040642;FRTE;01/01/2017
040643;FRTE;01/01/2017
040644;FRTE;01/01/2017
040645;FRTE;01/01/2017
040646;FRTE;01/01/2017
040647;FRTE;01/01/2017
040648;FRTE;01/01/2017
040649;FRTE;01/01/2017
040650;FRTE;01/01/2017
040651;FRTE;01/01/2017
040652;FRTE;01/01/2017
040653;FRTE;01/01/2017
040654;FRTE;01/01/2017
040656;FRTE;01/01/2017
040657;FRTE;01/01/2017
040659;FRTE;01/01/2017
040661;FRTE;01/01/2017
040662;FRTE;01/01/2017
